,Armed Services Committee,Judiciary Committee,Transportation and Infrastructure Committee,Foreign Affairs Committee,Foreign Relations Committee,"Commerce, Science, and Transportation Committee",Education and the Workforce Committee,Oversight and Accountability Committee,Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee","Science, Space, and Technology Committee",Natural Resources Committee,Veterans,Homeland Security and Governmental Affairs Committee,"Health, Education, Labor, and Pensions Committee",Rules and Administration Committee,Financial Services Committee,Energy and Commerce Committee,Small Business Committee,Ways and Means Committee,Rules Committee,Budget Committee,Energy and Natural Resources Committee,Committee on House Administration,Environment and Public Works Committee,Homeland Security Committee,,Small Business and Entrepreneurship Committee,Finance Committee,Intelligence (Permanent Select) Committee,Affairs Committee,Intelligence (Select) Committee,"Banking, Housing, and Urban Affairs Committee",Indian Affairs Committee,Ethics Committee,Appropriations Committee,Aging (Special) Committee,Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),United States Senate Caucus on International Narcotics Control
Armed Services Committee,0,401,242,654,13,5,256,440,115,0,137,227,444,13,2,11,129,396,34,338,72,65,7,59,2,148,109,0,2,198,4,4,2,0,4,27,0,1,0
Judiciary Committee,401,0,401,1065,81,13,1156,994,305,1,176,485,154,65,34,20,779,1624,98,1195,315,238,14,484,7,614,54,12,25,291,0,6,24,6,32,132,1,1,11
Transportation and Infrastructure Committee,242,401,0,204,6,113,323,323,332,3,357,642,77,89,7,15,427,1021,84,577,96,155,14,109,203,331,36,0,7,50,0,0,12,0,1,38,0,0,0
Foreign Affairs Committee,654,1065,204,0,459,13,194,384,186,1,136,210,53,6,4,0,640,563,28,598,162,44,3,53,4,187,21,0,2,248,0,1,25,0,6,42,0,2,0
Foreign Relations Committee,13,81,6,459,0,1,5,17,2,0,7,2,2,2,2,11,52,7,0,26,0,4,0,0,1,9,0,0,6,6,0,0,11,0,0,1,0,0,0
"Commerce, Science, and Transportation Committee",5,13,113,13,1,0,7,12,3,0,124,60,4,7,5,7,4,160,0,2,0,6,0,1,4,97,3,8,3,2,0,0,10,0,0,1,0,0,0
Education and the Workforce Committee,256,1156,323,194,5,7,0,589,327,6,251,382,131,8,168,0,474,1499,92,1585,155,153,12,386,3,106,65,0,9,41,0,0,10,8,7,127,1,0,0
Oversight and Accountability Committee,440,994,323,384,17,12,589,0,200,4,185,234,130,927,25,0,460,662,92,824,308,222,16,757,4,190,70,3,5,125,2,0,15,0,19,87,0,0,0
Agriculture Committee,115,305,332,186,2,3,327,200,0,65,160,914,46,5,2,0,345,649,52,422,57,103,31,52,5,93,27,0,4,26,0,0,12,0,4,36,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,1,3,1,0,0,6,4,65,0,0,20,0,0,0,11,6,3,0,0,0,1,6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0
