,Armed Services Committee,Judiciary Committee,Transportation and Infrastructure Committee,Foreign Affairs Committee,Foreign Relations Committee,"Commerce, Science, and Transportation Committee",Education and the Workforce Committee,Oversight and Accountability Committee,Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee","Science, Space, and Technology Committee",Natural Resources Committee,Veterans,Homeland Security and Governmental Affairs Committee,"Health, Education, Labor, and Pensions Committee",Rules and Administration Committee,Financial Services Committee,Energy and Commerce Committee,Small Business Committee,Ways and Means Committee,Rules Committee,Budget Committee,Energy and Natural Resources Committee,Committee on House Administration,Environment and Public Works Committee,Homeland Security Committee,,Small Business and Entrepreneurship Committee,Finance Committee,Intelligence (Permanent Select) Committee,Affairs Committee,Intelligence (Select) Committee,"Banking, Housing, and Urban Affairs Committee",Indian Affairs Committee,Ethics Committee
Armed Services Committee,0,8,6,15,0,0,3,6,0,0,2,3,4,0,0,0,3,7,0,3,2,0,0,0,0,3,2,0,0,3,0,0,0,0,0
Judiciary Committee,8,0,11,15,1,0,16,7,2,0,4,2,1,0,0,0,4,22,0,14,4,0,0,5,0,5,0,0,1,5,0,0,0,0,1
Transportation and Infrastructure Committee,6,11,0,5,0,5,1,3,2,0,8,7,0,0,0,2,7,13,0,10,1,2,0,0,2,3,0,0,0,3,0,0,0,0,0
Foreign Affairs Committee,15,15,5,0,17,1,1,4,3,0,3,1,0,0,0,0,10,7,0,9,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Foreign Relations Committee,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",0,0,5,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education and the Workforce Committee,3,16,1,1,0,0,0,7,2,1,2,1,0,1,3,0,3,13,0,13,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Oversight and Accountability Committee,6,7,3,4,1,0,7,0,2,0,4,0,0,25,1,0,3,4,0,6,3,0,0,6,0,5,0,0,0,4,0,0,0,0,0
Agriculture Committee,0,2,2,3,0,0,2,2,0,1,2,12,0,0,0,0,4,7,1,6,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Science, Space, and Technology Committee",2,4,8,3,0,5,2,4,2,0,0,8,0,0,1,0,3,8,1,7,2,1,2,0,0,5,0,0,0,3,0,0,0,0,0
Natural Resources Committee,3,2,7,1,0,2,1,0,12,0,8,0,2,0,0,0,1,3,0,6,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0
Veterans,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0
Homeland Security and Governmental Affairs Committee,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Health, Education, Labor, and Pensions Committee",0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rules and Administration Committee,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Services Committee,3,4,7,10,0,0,3,3,4,0,3,1,1,1,0,0,0,6,0,7,3,2,0,0,0,0,0,0,0,1,0,0,1,1,0
Energy and Commerce Committee,7,22,13,7,0,1,13,4,7,0,8,3,1,0,2,0,6,0,0,69,3,1,0,1,1,4,1,0,0,3,0,0,0,0,0
Small Business Committee,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ways and Means Committee,3,14,10,9,0,0,13,6,6,0,7,6,0,0,0,0,7,69,0,0,8,3,0,2,0,2,0,0,3,2,0,0,0,0,0
Rules Committee,2,4,1,4,0,0,0,3,1,0,2,0,0,0,0,0,3,3,0,8,0,6,0,2,0,0,0,0,0,1,0,0,0,0,1
Budget Committee,0,0,2,0,0,0,1,0,1,0,1,1,0,1,0,0,2,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy and Natural Resources Committee,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee on House Administration,0,5,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Environment and Public Works Committee,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland Security Committee,3,5,3,1,0,0,0,5,1,0,5,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finance Committee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,3,5,3,3,0,0,0,4,1,0,3,0,0,0,0,0,1,3,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
