,Foreign Affairs Committee,Foreign Relations Committee,Judiciary Committee,Ways and Means Committee,Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",Education and the Workforce Committee,Oversight and Accountability Committee,Agriculture Committee,Finance Committee,Financial Services Committee,Armed Services Committee,Natural Resources Committee,"Science, Space, and Technology Committee","Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,Homeland Security Committee,,Affairs Committee,Veterans,"Agriculture, Nutrition, and Forestry Committee",Environment and Public Works Committee,Intelligence (Permanent Select) Committee,Rules Committee,Energy and Natural Resources Committee,Homeland Security and Governmental Affairs Committee,Small Business Committee,Budget Committee,Committee on House Administration,"Banking, Housing, and Urban Affairs Committee",Rules and Administration Committee,Appropriations Committee,Indian Affairs Committee,Ethics Committee,Intelligence (Select) Committee,Small Business and Entrepreneurship Committee
Foreign Affairs Committee,0,46,42,29,40,0,11,15,7,1,45,43,6,4,0,10,16,0,0,1,0,0,8,7,0,0,4,1,1,1,0,0,0,0,0,0
Foreign Relations Committee,46,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Judiciary Committee,42,2,0,53,105,0,64,48,17,2,36,25,14,4,0,29,41,1,0,6,0,0,28,10,1,5,3,4,9,2,1,0,2,2,0,0
Ways and Means Committee,29,1,53,0,327,0,106,45,23,10,43,23,41,24,0,30,14,5,0,11,0,0,2,19,0,1,9,15,7,2,0,2,0,0,0,0
Energy and Commerce Committee,40,0,105,327,0,21,131,49,31,2,49,28,40,32,9,64,34,4,0,9,0,4,6,6,9,4,8,5,4,1,0,1,1,0,0,0
"Health, Education, Labor, and Pensions Committee",0,0,0,0,21,0,19,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Education and the Workforce Committee,11,0,64,106,131,19,0,39,20,1,25,19,21,12,1,14,5,2,0,6,0,0,4,2,1,1,4,6,9,0,0,1,2,0,0,0
Oversight and Accountability Committee,15,0,48,45,49,3,39,0,9,0,19,29,8,5,3,21,15,2,0,6,1,0,9,17,3,105,4,6,33,0,0,1,0,0,0,0
Agriculture Committee,7,0,17,23,31,0,20,9,0,1,21,3,62,9,0,14,1,1,0,1,5,0,0,0,6,0,1,5,1,0,0,0,0,0,0,0
Finance Committee,1,1,2,10,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Financial Services Committee,45,2,36,43,49,0,25,19,21,1,0,6,6,7,0,19,7,2,0,4,0,0,4,1,0,0,4,5,2,43,0,0,0,0,0,0
Armed Services Committee,43,0,25,23,28,0,19,29,3,1,6,0,10,3,0,17,14,3,1,26,0,1,9,5,2,1,1,2,2,0,0,0,0,0,0,0
Natural Resources Committee,6,0,14,41,40,0,21,8,62,0,6,10,0,34,2,48,2,2,0,3,3,20,0,1,153,1,2,3,4,0,0,0,18,1,0,0
"Science, Space, and Technology Committee",4,0,4,24,32,0,12,5,9,0,7,3,34,0,8,22,4,0,0,0,0,1,1,1,3,1,3,0,3,0,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",0,0,0,0,9,0,1,3,0,1,0,0,2,8,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,10,0,29,30,64,3,14,21,14,0,19,17,48,22,6,0,43,0,0,1,1,21,4,4,1,5,2,8,5,1,1,0,0,0,0,0
Homeland Security Committee,16,0,41,14,34,0,5,15,1,0,7,14,2,4,2,43,0,0,0,0,0,0,9,1,0,7,1,4,1,0,0,0,0,0,0,0
,0,0,1,5,4,0,2,2,1,0,2,3,2,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veterans,1,0,6,11,9,0,6,6,1,0,4,26,3,0,0,1,0,49,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,0,0,0,0,0,1,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Environment and Public Works Committee,0,0,0,0,4,0,0,0,0,0,0,1,20,1,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Intelligence (Permanent Select) Committee,8,0,28,2,6,0,4,9,0,0,4,9,0,1,0,4,9,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1,0
Rules Committee,7,0,10,19,6,0,2,17,0,0,1,5,1,1,0,4,1,0,0,0,0,0,2,0,0,0,1,17,2,0,0,1,0,2,0,0
Energy and Natural Resources Committee,0,0,1,0,9,0,1,3,6,0,0,2,153,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Homeland Security and Governmental Affairs Committee,0,0,5,1,4,0,1,105,0,0,0,1,1,1,1,5,7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Small Business Committee,4,0,3,9,8,0,4,4,1,0,4,1,2,3,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Budget Committee,1,0,4,15,5,0,6,6,5,0,5,2,3,0,0,8,4,0,0,0,0,0,3,17,0,0,1,0,0,0,0,0,0,0,0,0
Committee on House Administration,1,0,9,7,4,0,9,33,1,0,2,2,4,3,0,5,1,0,0,1,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0
