,Foreign Affairs Committee,Foreign Relations Committee,Energy and Commerce Committee,Financial Services Committee,Ways and Means Committee,"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",Judiciary Committee,Natural Resources Committee,Committee on House Administration,"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,Environment and Public Works Committee,Transportation and Infrastructure Committee,Energy and Natural Resources Committee,Armed Services Committee,Homeland Security Committee,Education and the Workforce Committee,,Veterans,Affairs Committee,"Agriculture, Nutrition, and Forestry Committee",Rules and Administration Committee,Agriculture Committee,Homeland Security and Governmental Affairs Committee,"Banking, Housing, and Urban Affairs Committee",Indian Affairs Committee,Rules Committee,Appropriations Committee,Budget Committee,Intelligence (Permanent Select) Committee,Small Business Committee,Finance Committee,Small Business and Entrepreneurship Committee,Intelligence (Select) Committee,Ethics Committee,Aging (Special) Committee
Foreign Affairs Committee,0,63,44,43,47,1,15,71,20,2,0,31,0,15,0,92,9,14,0,2,0,0,0,25,2,5,0,18,1,3,16,4,0,0,0,0,0
Foreign Relations Committee,63,0,1,2,1,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Energy and Commerce Committee,44,1,0,40,408,17,81,117,76,9,36,66,5,67,0,35,20,143,0,5,0,1,0,69,2,2,1,26,1,11,4,6,6,0,0,0,0
Financial Services Committee,43,2,40,0,49,1,8,42,8,7,2,30,1,21,0,4,2,25,0,2,0,0,0,13,0,77,2,3,0,9,4,5,0,0,0,1,0
Ways and Means Committee,47,1,408,49,0,1,46,79,52,12,2,78,0,46,0,31,13,136,1,7,1,0,0,38,1,2,1,44,2,19,4,10,18,0,0,0,0
"Commerce, Science, and Transportation Committee",1,0,17,1,1,0,16,5,12,0,1,3,0,14,0,0,8,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0
"Science, Space, and Technology Committee",15,0,81,8,46,16,0,12,59,5,6,24,3,29,8,20,4,22,0,2,0,0,0,22,1,0,0,9,0,4,2,7,0,1,0,0,0
Judiciary Committee,71,3,117,42,79,5,12,0,29,21,5,79,1,24,1,41,45,89,1,5,0,0,2,26,7,2,2,13,0,7,22,4,3,0,3,1,1
Natural Resources Committee,20,0,76,8,52,12,59,29,0,4,0,21,10,48,118,26,3,27,0,3,0,2,0,70,0,0,20,10,1,8,2,3,0,0,0,0,0
Committee on House Administration,2,0,9,7,12,0,5,21,4,0,2,59,0,13,1,6,1,28,0,3,0,0,14,1,4,0,0,10,0,0,0,0,0,0,0,2,0
"Health, Education, Labor, and Pensions Committee",0,0,36,2,2,1,6,5,0,2,0,10,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0
Oversight and Accountability Committee,31,0,66,30,78,3,24,79,21,59,10,0,0,25,1,36,13,64,0,7,0,3,0,21,142,6,0,19,1,6,8,8,0,1,0,0,0
Environment and Public Works Committee,0,0,5,1,0,0,3,1,10,0,0,0,0,43,2,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,15,1,67,21,46,14,29,24,48,13,0,25,43,0,1,16,32,20,0,1,0,0,3,21,10,3,0,6,1,5,3,6,1,0,0,0,0
Energy and Natural Resources Committee,0,0,0,0,0,0,8,1,118,1,0,1,2,1,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Armed Services Committee,92,4,35,4,31,0,20,41,26,6,0,36,0,16,1,0,12,24,2,50,0,0,2,11,3,0,0,10,0,3,17,5,0,0,4,0,0
Homeland Security Committee,9,0,20,2,13,8,4,45,3,1,0,13,0,32,0,12,0,8,0,1,0,0,0,6,21,0,0,1,1,0,4,0,0,0,1,0,0
Education and the Workforce Committee,14,0,143,25,136,2,22,89,27,28,29,64,1,20,1,24,8,0,0,8,0,0,0,26,0,3,1,14,1,11,2,4,2,0,0,0,0
,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,83,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Veterans,2,0,5,2,7,0,2,5,3,3,0,7,0,1,0,50,1,8,83,0,51,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Affairs Committee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Rules and Administration Committee,0,1,0,0,0,0,0,2,0,14,0,0,1,3,1,2,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1
Agriculture Committee,25,0,69,13,38,0,22,26,70,1,0,21,0,21,4,11,6,26,0,0,0,5,0,0,0,0,0,3,1,5,1,4,0,0,0,1,0
Homeland Security and Governmental Affairs Committee,2,0,2,0,1,4,1,7,0,4,0,142,3,10,0,3,21,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Banking, Housing, and Urban Affairs Committee",5,1,2,77,2,0,0,2,0,0,1,6,0,3,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Indian Affairs Committee,0,0,1,2,1,0,0,2,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rules Committee,18,0,26,3,44,0,9,13,10,10,0,19,0,6,0,10,1,14,0,1,0,0,0,3,0,0,0,0,1,37,1,0,0,0,0,1,0
Appropriations Committee,1,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,9,0,0,1,0,0,0,0
Budget Committee,3,0,11,9,19,0,4,7,8,0,0,6,0,5,1,3,0,11,0,0,0,0,1,5,0,0,0,37,9,0,1,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,16,0,4,4,4,1,2,22,2,0,0,8,0,3,0,17,4,2,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,2,0,0
Small Business Committee,4,0,6,5,10,0,7,4,3,0,0,8,0,6,0,5,0,4,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,12,0,0,0
Finance Committee,0,0,6,0,18,1,0,3,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ethics Committee,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
