,Foreign Affairs Committee,Foreign Relations Committee,Armed Services Committee,Veterans,"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,Ways and Means Committee,Financial Services Committee,"Health, Education, Labor, and Pensions Committee",Transportation and Infrastructure Committee,Rules and Administration Committee,"Science, Space, and Technology Committee",Judiciary Committee,Oversight and Accountability Committee,Committee on House Administration,Education and the Workforce Committee,Natural Resources Committee,Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",Rules Committee,"Banking, Housing, and Urban Affairs Committee",Energy and Natural Resources Committee,Homeland Security Committee,,Affairs Committee,Small Business Committee,Appropriations Committee,Budget Committee,Homeland Security and Governmental Affairs Committee,Finance Committee,Ethics Committee,Environment and Public Works Committee,Small Business and Entrepreneurship Committee,Intelligence (Permanent Select) Committee,Indian Affairs Committee,Intelligence (Select) Committee,Aging (Special) Committee
Foreign Affairs Committee,0,36,39,5,1,32,42,36,2,12,0,6,58,27,3,12,12,14,0,7,1,0,14,1,0,1,0,1,2,0,0,0,0,12,0,0,0
Foreign Relations Committee,36,0,1,1,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Armed Services Committee,39,1,0,47,0,22,24,5,0,12,1,4,34,41,7,18,18,5,0,3,0,1,16,6,1,1,0,3,3,0,0,0,0,20,0,0,0
Veterans,5,1,47,0,0,11,13,2,0,11,1,1,6,8,2,9,4,2,0,0,3,0,0,89,42,2,3,2,0,0,0,0,0,1,0,0,0
"Commerce, Science, and Transportation Committee",1,0,0,0,0,13,0,0,0,17,0,13,1,0,0,2,10,0,0,0,2,0,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Energy and Commerce Committee,32,2,22,11,13,0,413,48,35,78,0,46,134,56,25,159,62,43,0,35,1,5,25,5,0,6,25,23,2,3,0,2,0,3,0,0,0
Ways and Means Committee,42,0,24,13,0,413,0,79,3,56,0,30,100,83,28,158,50,24,0,44,3,0,18,5,1,14,36,40,0,16,0,1,0,1,0,0,0
Financial Services Committee,36,0,5,2,0,48,79,0,2,30,0,7,66,40,15,35,11,27,0,7,49,0,2,1,0,11,8,11,1,1,1,0,1,4,1,0,0
"Health, Education, Labor, and Pensions Committee",2,1,0,0,0,35,3,2,0,1,1,0,3,6,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,12,0,12,11,17,78,56,30,1,0,6,27,33,30,13,26,51,16,0,7,0,2,55,6,0,5,7,11,5,1,0,32,0,5,0,0,0
Rules and Administration Committee,0,1,1,1,0,0,0,0,1,6,0,0,2,0,18,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1
"Science, Space, and Technology Committee",6,0,4,1,13,46,30,7,0,27,0,0,11,14,2,24,35,8,0,3,0,12,10,0,0,6,1,4,2,0,0,3,0,0,0,0,0
Judiciary Committee,58,2,34,6,1,134,100,66,3,33,2,11,0,75,41,109,51,23,0,31,3,1,72,1,0,3,19,21,2,1,3,1,0,19,1,0,0
Oversight and Accountability Committee,27,1,41,8,0,56,83,40,6,30,0,14,75,0,57,56,22,12,0,31,2,2,23,1,0,8,10,23,118,1,2,0,0,8,0,0,0
Committee on House Administration,3,0,7,2,0,25,28,15,0,13,18,2,41,57,0,35,19,2,0,24,2,0,4,1,0,0,14,2,5,0,3,0,0,1,0,0,0
