,Energy and Commerce Committee,Judiciary Committee,Committee on House Administration,Rules and Administration Committee,Education and the Workforce Committee,Ways and Means Committee,Foreign Relations Committee,Budget Committee,Oversight and Accountability Committee,Armed Services Committee,Natural Resources Committee,,Veterans,Transportation and Infrastructure Committee,Appropriations Committee,Homeland Security Committee,Financial Services Committee,Foreign Affairs Committee,Rules Committee,Homeland Security and Governmental Affairs Committee,Energy and Natural Resources Committee,"Science, Space, and Technology Committee",Environment and Public Works Committee,Small Business Committee,Agriculture Committee,Intelligence (Permanent Select) Committee,Finance Committee,"Banking, Housing, and Urban Affairs Committee","Health, Education, Labor, and Pensions Committee","Commerce, Science, and Transportation Committee","Agriculture, Nutrition, and Forestry Committee",Affairs Committee,Ethics Committee,Indian Affairs Committee,Intelligence (Select) Committee,Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),United States Senate Caucus on International Narcotics Control,Small Business and Entrepreneurship Committee,Aging (Special) Committee
Energy and Commerce Committee,0,131,40,0,116,311,1,33,48,28,102,7,11,97,39,15,35,38,45,0,8,58,4,8,55,3,1,0,9,7,0,0,0,1,0,1,1,0,0
Judiciary Committee,131,0,55,2,100,106,5,29,79,27,67,4,12,28,28,37,52,57,46,8,1,20,0,9,27,16,4,1,0,0,1,0,2,0,1,1,4,0,0
Committee on House Administration,40,55,0,11,47,45,0,12,84,2,35,0,0,8,31,1,17,3,43,2,0,9,0,3,11,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Rules and Administration Committee,0,2,11,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
Education and the Workforce Committee,116,100,47,0,0,129,0,17,40,21,51,7,12,24,29,5,36,12,34,2,0,23,0,8,30,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Ways and Means Committee,311,106,45,1,129,0,2,63,64,25,68,4,9,71,47,13,54,44,54,0,0,32,0,17,45,1,10,0,1,0,0,0,0,0,0,1,0,0,0
Foreign Relations Committee,1,5,0,2,0,2,0,0,3,0,0,0,0,1,0,0,4,19,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
Budget Committee,33,29,12,1,17,63,0,0,32,8,23,3,5,16,24,2,14,6,57,0,2,9,0,1,14,1,2,1,0,1,0,0,0,0,0,0,0,0,0
Oversight and Accountability Committee,48,79,84,0,40,64,3,32,0,33,29,5,6,37,17,13,36,28,42,69,0,19,2,17,20,7,0,0,1,0,0,0,2,0,0,0,0,0,0
Armed Services Committee,28,27,2,1,21,25,0,8,33,0,22,4,33,20,4,13,6,54,2,1,1,11,0,2,11,13,0,0,0,0,0,0,0,0,0,1,0,0,0
Natural Resources Committee,102,67,35,0,51,68,0,23,29,22,0,3,4,73,29,6,16,14,30,0,49,35,8,4,67,1,0,0,0,4,3,0,0,9,0,0,0,0,0
,7,4,0,0,7,4,0,3,5,4,3,0,80,5,0,0,2,1,1,0,0,2,0,1,4,0,0,0,0,1,0,19,0,0,0,0,0,0,0
Veterans,11,12,0,1,12,9,0,5,6,33,4,80,0,7,0,0,7,5,1,0,0,4,0,1,5,0,0,0,0,1,0,19,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,97,28,8,0,24,71,1,16,37,20,73,5,7,0,4,29,28,15,13,3,1,43,12,9,25,3,0,0,0,7,1,0,0,0,0,0,0,0,0
Appropriations Committee,39,28,31,0,29,47,0,24,17,4,29,0,0,4,0,1,6,4,30,0,0,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland Security Committee,15,37,1,0,5,13,0,2,13,13,6,0,0,29,1,0,1,7,0,18,0,9,0,1,7,7,0,0,2,6,0,0,0,0,0,0,0,0,0
Financial Services Committee,35,52,17,0,36,54,4,14,36,6,16,2,7,28,6,1,0,40,9,0,0,10,0,12,35,2,0,26,0,0,0,0,1,0,0,0,0,0,0
Foreign Affairs Committee,38,57,3,0,12,44,19,6,28,54,14,1,5,15,4,7,40,0,10,0,0,11,0,4,16,8,0,1,0,2,0,0,0,0,0,1,0,0,0
Rules Committee,45,46,43,0,34,54,0,57,42,2,30,1,1,13,30,0,9,10,0,1,0,6,1,3,12,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,0,8,2,1,2,0,1,0,69,1,0,0,0,3,0,18,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy and Natural Resources Committee,8,1,0,1,0,0,0,2,0,1,49,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Science, Space, and Technology Committee",58,20,9,0,23,32,1,9,19,11,35,2,4,43,7,9,10,11,6,0,2,0,0,8,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Environment and Public Works Committee,4,0,0,1,0,0,0,0,2,0,8,0,0,12,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Small Business Committee,8,9,3,0,8,17,0,1,17,2,4,1,1,9,1,1,12,4,3,1,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Agriculture Committee,55,27,11,0,30,45,0,14,20,11,67,4,5,25,5,7,35,16,12,0,1,12,0,3,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0
