,Judiciary Committee,Natural Resources Committee,Foreign Affairs Committee,Appropriations Committee,Committee on House Administration,Foreign Relations Committee,Ethics Committee,Education and the Workforce Committee,Energy and Commerce Committee,Rules Committee,Ways and Means Committee,Armed Services Committee,Oversight and Accountability Committee,Transportation and Infrastructure Committee,Financial Services Committee,Agriculture Committee,Veterans,Budget Committee,Energy and Natural Resources Committee,,"Commerce, Science, and Transportation Committee",Homeland Security Committee,Homeland Security and Governmental Affairs Committee,"Banking, Housing, and Urban Affairs Committee",Intelligence (Permanent Select) Committee,"Agriculture, Nutrition, and Forestry Committee",Small Business Committee,Environment and Public Works Committee,"Science, Space, and Technology Committee",Finance Committee,"Health, Education, Labor, and Pensions Committee",Affairs Committee,Intelligence (Select) Committee,Indian Affairs Committee,Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),Small Business and Entrepreneurship Committee,United States Senate Caucus on International Narcotics Control,Rules and Administration Committee,Aging (Special) Committee
Judiciary Committee,0,72,91,25,49,5,1,101,144,43,123,37,87,33,59,31,12,27,2,4,1,35,8,2,40,0,9,1,21,3,6,0,2,0,0,2,3,4,0
Natural Resources Committee,72,0,11,20,26,0,0,42,80,26,60,24,21,60,14,78,2,22,75,0,1,8,1,0,0,0,4,5,23,0,0,0,0,8,0,0,0,0,0
Foreign Affairs Committee,91,11,0,4,5,26,0,11,33,14,47,41,32,11,43,15,3,2,1,3,0,13,0,2,11,1,2,0,9,0,0,0,0,0,1,0,0,0,0
Appropriations Committee,25,20,4,0,23,0,0,21,26,20,36,5,21,6,4,3,0,26,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
Committee on House Administration,49,26,5,23,0,0,2,44,43,32,50,6,86,5,18,3,4,10,0,3,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,7,0
Foreign Relations Committee,5,0,26,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
Ethics Committee,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education and the Workforce Committee,101,42,11,21,44,0,0,0,94,23,131,17,42,27,35,25,8,14,2,4,0,6,1,1,1,1,7,0,24,1,15,0,0,0,0,0,0,0,0
Energy and Commerce Committee,144,80,33,26,43,0,0,94,0,32,341,26,51,80,30,44,7,28,8,3,11,8,1,0,3,0,7,4,38,2,20,0,0,1,0,0,0,0,0
Rules Committee,43,26,14,20,32,0,1,23,32,0,42,3,36,9,8,6,0,45,0,0,0,1,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
Ways and Means Committee,123,60,47,36,50,1,1,131,341,42,0,31,65,56,55,42,11,46,0,9,0,17,2,1,1,0,13,0,15,16,2,0,0,0,0,0,0,0,0
Armed Services Committee,37,24,41,5,6,0,0,17,26,3,31,0,40,21,7,11,49,7,0,12,1,12,2,1,18,0,0,0,5,0,0,0,0,0,0,0,0,2,0
Oversight and Accountability Committee,87,21,32,21,86,1,1,42,51,36,65,40,0,28,44,20,11,29,1,7,0,13,84,1,8,0,8,0,12,0,1,0,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,33,60,11,6,5,0,0,27,80,9,56,21,28,0,30,29,2,19,3,0,12,17,4,1,2,0,8,15,26,0,1,0,0,0,0,0,0,0,0
Financial Services Committee,59,14,43,4,18,2,0,35,30,8,55,7,44,30,0,30,2,14,2,2,0,3,0,43,4,3,9,0,7,0,1,0,1,1,0,0,0,0,0
Agriculture Committee,31,78,15,3,3,0,0,25,44,6,42,11,20,29,30,0,3,18,3,2,0,12,0,6,0,8,5,1,12,0,1,0,0,0,0,0,0,0,0
Veterans,12,2,3,0,4,0,0,8,7,0,11,49,11,2,2,3,0,3,0,77,0,1,0,0,0,0,1,0,2,0,2,25,0,0,0,0,0,3,0
Budget Committee,27,22,2,26,10,0,0,14,28,45,46,7,29,19,14,18,3,0,1,2,0,1,2,0,0,0,4,0,9,1,0,0,0,0,0,0,0,2,0
Energy and Natural Resources Committee,2,75,1,0,0,0,0,2,8,0,0,0,1,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0
,4,0,3,0,3,0,0,4,3,0,9,12,7,0,2,2,77,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",1,1,0,0,0,0,0,0,11,0,0,1,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,2,0
Homeland Security Committee,35,8,13,2,1,2,0,6,8,1,17,12,13,17,3,12,1,1,0,0,15,0,23,0,4,0,1,0,6,0,0,0,1,0,0,1,0,0,0
Homeland Security and Governmental Affairs Committee,8,1,0,0,0,0,0,1,1,2,2,2,84,4,0,0,0,2,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
"Banking, Housing, and Urban Affairs Committee",2,0,2,0,1,1,0,1,0,0,1,1,1,1,43,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,2,0
Intelligence (Permanent Select) Committee,40,0,11,0,0,0,0,1,3,0,1,18,8,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Small Business Committee,9,4,2,0,2,0,0,7,7,2,13,0,8,8,9,5,1,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Environment and Public Works Committee,1,5,0,0,0,0,0,0,4,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
"Science, Space, and Technology Committee",21,23,9,6,2,2,0,24,38,5,15,5,12,26,7,12,2,9,3,0,10,6,1,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0
Finance Committee,3,0,0,0,0,0,0,1,2,0,16,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Health, Education, Labor, and Pensions Committee",6,0,0,0,1,0,0,15,20,0,2,0,1,1,1,1,2,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Indian Affairs Committee,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
