,Foreign Affairs Committee,Foreign Relations Committee,Agriculture Committee,Ways and Means Committee,Education and the Workforce Committee,Energy and Commerce Committee,Judiciary Committee,Transportation and Infrastructure Committee,Committee on House Administration,Finance Committee,Armed Services Committee,Veterans,Natural Resources Committee,Appropriations Committee,Financial Services Committee,Rules Committee,Oversight and Accountability Committee,Homeland Security Committee,Energy and Natural Resources Committee,Budget Committee,Intelligence (Permanent Select) Committee,Homeland Security and Governmental Affairs Committee,,Affairs Committee,"Banking, Housing, and Urban Affairs Committee",Environment and Public Works Committee,"Science, Space, and Technology Committee","Commerce, Science, and Transportation Committee","Health, Education, Labor, and Pensions Committee","Agriculture, Nutrition, and Forestry Committee",Small Business Committee,Intelligence (Select) Committee,Small Business and Entrepreneurship Committee,Rules and Administration Committee,Indian Affairs Committee,United States Senate Caucus on International Narcotics Control,Ethics Committee,Aging (Special) Committee
Foreign Affairs Committee,0,47,12,49,10,43,94,10,3,0,48,2,16,5,53,16,32,18,1,1,19,1,2,0,5,1,6,0,0,0,1,0,0,0,0,0,0,0
Foreign Relations Committee,47,0,0,5,0,0,11,0,0,0,2,0,1,0,8,0,4,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Agriculture Committee,12,0,0,35,16,47,27,25,3,0,8,2,68,5,30,8,15,9,3,10,0,1,2,0,1,0,8,0,0,10,2,0,0,0,0,0,0,0
Ways and Means Committee,49,5,35,0,132,372,120,45,26,44,30,18,41,16,66,36,69,22,0,42,3,2,8,0,1,2,15,0,2,0,8,0,0,0,0,0,1,0
Education and the Workforce Committee,10,0,16,132,0,89,92,18,33,0,17,13,25,13,32,16,45,6,4,21,2,0,6,0,1,0,22,1,13,0,8,0,0,0,0,0,0,0
Energy and Commerce Committee,43,0,47,372,89,0,144,83,22,26,34,15,62,19,35,23,49,17,13,32,3,4,4,0,1,8,42,12,29,1,3,0,0,0,2,2,0,0
Judiciary Committee,94,11,27,120,92,144,0,31,40,6,33,15,38,17,68,35,97,51,3,29,23,11,6,0,1,2,12,2,4,0,11,0,7,1,0,3,1,0
Transportation and Infrastructure Committee,10,0,25,45,18,83,31,0,9,1,10,7,51,5,19,12,18,23,1,17,3,13,3,0,0,18,31,13,0,0,4,0,0,0,0,0,0,0
Committee on House Administration,3,0,3,26,33,22,40,9,0,1,3,3,13,13,25,24,62,1,0,7,0,0,3,0,2,0,6,0,0,0,1,0,0,4,1,0,1,0
Finance Committee,0,0,0,44,0,26,6,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,1
