,Financial Services Committee,Ways and Means Committee,Appropriations Committee,Committee on House Administration,Foreign Affairs Committee,Foreign Relations Committee,Education and the Workforce Committee,Judiciary Committee,Agriculture Committee,Budget Committee,Energy and Commerce Committee,Armed Services Committee,Natural Resources Committee,Oversight and Accountability Committee,Rules Committee,Finance Committee,Veterans,Intelligence (Permanent Select) Committee,"Health, Education, Labor, and Pensions Committee","Commerce, Science, and Transportation Committee",Rules and Administration Committee,Energy and Natural Resources Committee,Transportation and Infrastructure Committee,,Affairs Committee,Homeland Security and Governmental Affairs Committee,"Science, Space, and Technology Committee",Homeland Security Committee,"Banking, Housing, and Urban Affairs Committee",Indian Affairs Committee,Small Business Committee,Small Business and Entrepreneurship Committee,"Agriculture, Nutrition, and Forestry Committee",Environment and Public Works Committee,Intelligence (Select) Committee,Ethics Committee,Aging (Special) Committee
Financial Services Committee,0,90,5,34,68,9,50,98,31,15,60,15,21,53,16,2,4,14,0,0,0,0,44,2,0,1,11,8,88,1,14,0,1,0,0,1,0
Ways and Means Committee,90,0,14,33,55,5,174,134,47,34,448,33,52,94,35,52,18,7,1,0,0,0,57,8,1,4,19,27,1,0,13,0,0,0,0,3,0
Appropriations Committee,5,14,0,10,7,0,13,17,4,25,13,6,8,8,9,0,3,3,0,0,0,0,3,1,0,1,2,3,0,0,2,0,0,0,0,0,0
Committee on House Administration,34,33,10,0,7,0,33,52,4,7,24,5,13,84,23,0,3,5,0,0,7,0,11,2,0,6,10,5,2,0,1,0,0,0,0,4,0
Foreign Affairs Committee,68,55,7,7,0,53,23,124,16,5,55,81,23,44,14,0,5,57,0,3,0,0,21,1,0,0,14,29,3,0,0,0,0,1,0,0,0
Foreign Relations Committee,9,5,0,0,53,0,2,14,0,0,1,2,0,4,0,0,0,0,0,0,1,0,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0
Education and the Workforce Committee,50,174,13,33,23,2,0,135,30,14,131,22,39,52,13,1,13,0,15,0,0,2,31,5,0,0,29,10,1,3,10,0,1,0,0,0,1
Judiciary Committee,98,134,17,52,124,14,135,0,29,23,189,37,47,120,33,2,11,34,5,0,3,2,37,5,0,14,11,88,3,1,11,3,0,0,0,1,0
Agriculture Committee,31,47,4,4,16,0,30,29,0,9,68,12,94,20,5,0,2,1,0,0,0,5,44,2,0,2,19,10,1,0,6,0,11,2,0,0,0
Budget Committee,15,34,25,7,5,0,14,23,9,0,21,10,15,14,29,0,4,2,2,0,1,0,12,3,0,2,5,4,1,0,1,1,0,0,0,0,0
Energy and Commerce Committee,60,448,13,24,55,1,131,189,68,21,0,34,88,66,12,36,18,6,46,21,0,22,99,8,0,4,62,22,1,3,8,0,1,7,0,0,0
Armed Services Committee,15,33,6,5,81,2,22,37,12,10,34,0,19,44,7,1,57,24,0,2,1,0,29,9,1,0,15,13,0,0,2,0,0,1,0,0,0
Natural Resources Committee,21,52,8,13,23,0,39,47,94,15,88,19,0,23,8,0,8,0,0,10,0,107,71,4,0,0,36,7,0,22,2,0,6,12,0,0,0
Oversight and Accountability Committee,53,94,8,84,44,4,52,120,20,14,66,44,23,0,27,1,15,18,0,1,0,4,28,6,0,111,16,15,1,0,8,2,0,0,0,2,0
Rules Committee,16,35,9,23,14,0,13,33,5,29,12,7,8,27,0,1,3,3,0,0,0,0,8,1,0,3,0,1,2,0,1,1,0,0,0,2,0
Finance Committee,2,52,0,0,0,0,1,2,0,0,36,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,2,0,0,0,0,0
Veterans,4,18,3,3,5,0,13,11,2,4,18,57,8,15,3,0,0,0,1,1,1,4,8,114,70,1,6,3,0,0,1,0,0,0,0,0,1
Intelligence (Permanent Select) Committee,14,7,3,5,57,0,0,34,1,2,6,24,0,18,3,0,0,0,0,1,0,0,4,0,0,0,4,13,0,0,0,0,0,0,1,0,0
"Health, Education, Labor, and Pensions Committee",0,1,0,0,0,0,15,5,0,2,46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
"Commerce, Science, and Transportation Committee",0,0,0,0,3,0,0,0,0,0,21,2,10,1,0,0,1,1,0,0,1,0,19,0,0,0,19,24,1,0,0,3,0,1,0,0,0
Rules and Administration Committee,0,0,0,7,0,1,0,3,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1
Energy and Natural Resources Committee,0,0,0,0,0,0,2,2,5,0,22,0,107,4,0,0,4,0,0,0,1,0,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0
Transportation and Infrastructure Committee,44,57,3,11,21,2,31,37,44,12,99,29,71,28,8,0,8,4,0,19,1,4,0,3,0,18,44,36,4,0,10,0,1,18,0,0,0
,2,8,1,2,1,0,5,5,2,3,8,9,4,6,1,0,114,0,0,0,0,1,3,0,70,1,3,3,0,0,1,0,0,0,0,0,0
Affairs Committee,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,1,4,1,6,0,1,0,14,2,2,4,0,0,111,3,0,1,0,0,0,1,0,18,1,0,0,1,105,0,0,1,3,0,1,0,0,0
"Science, Space, and Technology Committee",11,19,2,10,14,2,29,11,19,5,62,15,36,16,0,0,6,4,1,19,0,8,44,3,0,1,0,7,0,0,11,2,0,5,0,0,0
