,Agriculture Committee,Foreign Affairs Committee,Ways and Means Committee,Energy and Commerce Committee,Education and the Workforce Committee,Judiciary Committee,Oversight and Accountability Committee,Transportation and Infrastructure Committee,Financial Services Committee,"Science, Space, and Technology Committee",Armed Services Committee,Natural Resources Committee,Foreign Relations Committee,Committee on House Administration,Rules Committee,Homeland Security Committee,Veterans,,Affairs Committee,Environment and Public Works Committee,"Banking, Housing, and Urban Affairs Committee",Finance Committee,"Health, Education, Labor, and Pensions Committee",Small Business Committee,Small Business and Entrepreneurship Committee,Homeland Security and Governmental Affairs Committee,Appropriations Committee,Energy and Natural Resources Committee,Budget Committee,"Commerce, Science, and Transportation Committee",Intelligence (Permanent Select) Committee,Ethics Committee,Indian Affairs Committee,Rules and Administration Committee,Intelligence (Select) Committee,"Agriculture, Nutrition, and Forestry Committee",United States Senate Caucus on International Narcotics Control,Aging (Special) Committee
Agriculture Committee,0,30,48,91,49,42,17,44,47,21,14,107,2,9,4,14,9,6,0,1,0,2,1,12,0,1,6,0,15,2,6,0,0,0,0,0,0,0
Foreign Affairs Committee,30,0,83,88,32,167,47,34,86,33,76,33,71,12,19,24,6,4,0,1,1,1,2,4,0,0,6,1,9,4,46,1,0,0,1,0,0,0
Ways and Means Committee,48,83,0,556,237,159,113,77,122,33,47,45,6,47,32,30,26,21,0,1,1,9,3,34,2,4,17,0,39,1,15,4,0,0,1,0,0,0
Energy and Commerce Committee,91,88,556,0,212,207,98,143,95,87,68,125,2,25,21,40,33,25,0,4,1,10,41,17,0,2,10,10,37,30,7,0,4,0,0,0,0,0
Education and the Workforce Committee,49,32,237,212,0,164,86,54,84,38,41,45,1,57,11,18,25,17,0,1,1,2,16,22,0,0,9,1,17,1,10,3,2,0,0,0,0,0
Judiciary Committee,42,167,159,207,164,0,135,56,125,32,54,61,17,76,30,85,33,14,0,1,1,2,5,20,0,6,11,2,29,3,36,8,0,2,0,0,1,0
Oversight and Accountability Committee,17,47,113,98,86,135,0,32,59,24,51,24,1,105,34,26,22,16,0,1,0,2,2,10,0,92,6,1,34,3,19,5,0,0,0,0,0,0
Transportation and Infrastructure Committee,44,34,77,143,54,56,32,0,78,45,26,67,2,15,12,27,13,6,0,19,0,1,1,13,0,13,4,0,25,9,3,0,0,2,0,0,0,0
Financial Services Committee,47,86,122,95,84,125,59,78,0,21,24,27,8,49,12,17,14,12,0,2,67,1,1,27,0,2,6,0,24,3,15,5,1,0,1,0,0,0
"Science, Space, and Technology Committee",21,33,33,87,38,32,24,45,21,0,27,50,1,17,2,12,10,5,0,0,0,0,6,10,2,0,1,4,8,18,10,4,0,2,0,0,0,0
Armed Services Committee,14,76,47,68,41,54,51,26,24,27,0,26,2,10,10,13,47,21,0,0,0,0,2,7,0,0,0,1,9,1,25,0,0,1,0,0,0,0
Natural Resources Committee,107,33,45,125,45,61,24,67,27,50,26,0,1,15,8,9,11,7,0,8,0,2,1,9,0,1,8,34,21,8,2,0,18,2,0,0,0,0
Foreign Relations Committee,2,71,6,2,1,17,1,2,8,1,2,1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,2,1,2,0,0,1,0,0,0,0
Committee on House Administration,9,12,47,25,57,76,105,15,49,17,10,15,0,0,23,11,8,4,0,0,4,0,1,4,0,1,7,0,16,1,10,6,0,6,0,0,0,0
Rules Committee,4,19,32,21,11,30,34,12,12,2,10,8,0,23,0,2,2,1,0,0,0,0,0,1,0,1,5,0,45,0,3,5,0,0,0,0,0,0
Homeland Security Committee,14,24,30,40,18,85,26,27,17,12,13,9,2,11,2,0,7,4,0,0,0,0,0,5,0,51,3,1,4,8,15,4,0,0,0,0,0,0
Veterans,9,6,26,33,25,33,22,13,14,10,47,11,1,8,2,7,0,151,42,0,1,0,1,5,0,0,1,1,5,1,1,0,0,1,0,0,0,0
,6,4,21,25,17,14,16,6,12,5,21,7,0,4,1,4,151,0,42,0,0,0,0,4,0,0,1,0,3,1,1,0,0,0,0,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Environment and Public Works Committee,1,1,1,4,1,1,1,19,2,0,0,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0
"Banking, Housing, and Urban Affairs Committee",0,1,1,1,1,1,0,0,67,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Finance Committee,2,1,9,10,2,2,2,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,1,4,1,1,0,2,1,0,0,0,1,0,0,0,0
"Health, Education, Labor, and Pensions Committee",1,2,3,41,16,5,2,1,1,6,2,1,1,1,0,0,1,0,0,1,0,1,0,1,3,0,1,0,3,1,1,0,0,1,0,0,0,0
Small Business Committee,12,4,34,17,22,20,10,13,27,10,7,9,0,4,1,5,5,4,1,0,1,1,1,0,29,2,1,0,6,0,2,0,0,0,0,0,0,0
Small Business and Entrepreneurship Committee,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,3,29,0,7,1,0,1,0,0,0,0,1,0,0,0,0
Homeland Security and Governmental Affairs Committee,1,0,4,2,0,6,92,13,2,0,0,1,0,1,1,51,0,0,0,0,0,1,0,2,7,0,0,0,4,0,0,0,0,1,0,0,0,0
Appropriations Committee,6,6,17,10,9,11,6,4,6,1,0,8,1,7,5,3,1,1,0,1,1,1,1,1,1,0,0,0,47,1,0,0,0,0,0,0,0,0
Energy and Natural Resources Committee,0,1,0,10,1,2,1,0,0,4,1,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Budget Committee,15,9,39,37,17,29,34,25,24,8,9,21,2,16,45,4,5,3,1,2,0,2,3,6,1,4,47,0,0,3,2,1,0,1,0,0,0,0
"Commerce, Science, and Transportation Committee",2,4,1,30,1,3,3,9,3,18,1,8,1,1,0,8,1,1,0,2,1,1,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
Intelligence (Permanent Select) Committee,6,46,15,7,10,36,19,3,15,10,25,2,2,10,3,15,1,1,0,0,0,0,1,2,0,0,0,0,2,0,0,4,0,0,2,0,0,0
