,Energy and Commerce Committee,Judiciary Committee,Foreign Affairs Committee,Foreign Relations Committee,Committee on House Administration,Oversight and Accountability Committee,Natural Resources Committee,Transportation and Infrastructure Committee,Finance Committee,Ways and Means Committee,Financial Services Committee,Agriculture Committee,Rules Committee,Homeland Security and Governmental Affairs Committee,Rules and Administration Committee,Education and the Workforce Committee,Veterans,"Banking, Housing, and Urban Affairs Committee",,Affairs Committee,Armed Services Committee,"Science, Space, and Technology Committee",Small Business Committee,Small Business and Entrepreneurship Committee,"Agriculture, Nutrition, and Forestry Committee",Budget Committee,"Commerce, Science, and Transportation Committee","Health, Education, Labor, and Pensions Committee",Environment and Public Works Committee,Homeland Security Committee,Indian Affairs Committee,Intelligence (Permanent Select) Committee,Energy and Natural Resources Committee,Appropriations Committee,Ethics Committee,Aging (Special) Committee,Intelligence (Select) Committee
Energy and Commerce Committee,0,104,36,0,5,22,47,42,3,251,44,36,8,0,0,101,12,1,3,0,20,21,5,0,0,12,11,7,3,12,0,3,3,4,0,0,0
Judiciary Committee,104,0,57,10,13,40,22,25,0,54,43,16,16,2,1,47,10,6,4,0,16,9,7,0,0,14,0,1,1,32,0,13,0,3,1,0,0
Foreign Affairs Committee,36,57,0,30,4,23,10,14,0,31,41,6,13,0,0,14,7,6,2,0,20,5,3,0,0,4,0,0,1,10,0,7,0,1,1,0,0
Foreign Relations Committee,0,10,30,0,0,1,0,0,0,1,8,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee on House Administration,5,13,4,0,0,25,3,3,0,11,13,1,4,0,3,11,2,0,0,0,2,3,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0
Oversight and Accountability Committee,22,40,23,1,25,0,24,16,0,33,25,14,16,18,0,21,14,3,8,0,18,9,7,0,0,15,0,0,1,12,0,8,1,1,0,0,0
Natural Resources Committee,47,22,10,0,3,24,0,30,0,16,12,79,3,0,0,19,14,0,4,0,15,11,5,0,2,10,2,0,3,5,5,3,14,4,0,0,0
Transportation and Infrastructure Committee,42,25,14,0,3,16,30,0,1,25,28,21,7,5,0,24,6,2,3,0,11,15,8,0,0,13,3,0,11,15,0,4,1,3,0,0,0
Finance Committee,3,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ways and Means Committee,251,54,31,1,11,33,16,25,9,0,34,22,16,1,0,65,17,1,11,0,23,9,4,0,0,14,0,2,0,17,0,5,0,5,0,0,0
