committee,count
Ways and Means Committee,2571
Finance Committee,1376
Judiciary Committee,1372
Energy and Commerce Committee,1122
Natural Resources Committee,689
Education and the Workforce Committee,644
Oversight and Accountability Committee,626
Transportation and Infrastructure Committee,533
Foreign Affairs Committee,492
Financial Services Committee,482
Armed Services Committee,472
"Health, Education, Labor, and Pensions Committee",430
Veterans,375
Energy and Natural Resources Committee,335
Rules Committee,305
Committee on House Administration,280
Homeland Security and Governmental Affairs Committee,276
Agriculture Committee,251
Environment and Public Works Committee,224
Budget Committee,220
"Commerce, Science, and Transportation Committee",202
"Banking, Housing, and Urban Affairs Committee",201
Foreign Relations Committee,176
"Science, Space, and Technology Committee",164
Appropriations Committee,157
Homeland Security Committee,148
"Agriculture, Nutrition, and Forestry Committee",84
Small Business Committee,82
Rules and Administration Committee,78
Indian Affairs Committee,53
Small Business and Entrepreneurship Committee,42
Intelligence (Permanent Select) Committee,36
Affairs Committee,19
Intelligence (Select) Committee,11
Ethics Committee,5
United States Senate Caucus on International Narcotics Control,3
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),1
Aging (Special) Committee,1
