source,target,weight
Armed Services Committee,Judiciary Committee,401
Armed Services Committee,Transportation and Infrastructure Committee,242
Foreign Affairs Committee,Foreign Relations Committee,459
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,113
Education and the Workforce Committee,Judiciary Committee,1156
Armed Services Committee,Foreign Affairs Committee,654
Armed Services Committee,Armed Services Committee,64
Judiciary Committee,Oversight and Accountability Committee,994
Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",65
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",124
Judiciary Committee,Natural Resources Committee,485
Judiciary Committee,Veterans,154
Natural Resources Committee,Veterans,79
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,927
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",168
Rules and Administration Committee,Transportation and Infrastructure Committee,15
"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,25
Armed Services Committee,Financial Services Committee,129
Judiciary Committee,Judiciary Committee,530
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",284
"Science, Space, and Technology Committee",Small Business Committee,65
Education and the Workforce Committee,Energy and Commerce Committee,1499
Education and the Workforce Committee,Ways and Means Committee,1585
Energy and Commerce Committee,Ways and Means Committee,4204
Natural Resources Committee,"Science, Space, and Technology Committee",384
Energy and Commerce Committee,Judiciary Committee,1624
Financial Services Committee,Foreign Affairs Committee,640
Judiciary Committee,Rules Committee,315
Judiciary Committee,Ways and Means Committee,1195
Budget Committee,Ways and Means Committee,364
Armed Services Committee,Oversight and Accountability Committee,440
Armed Services Committee,Rules Committee,72
Oversight and Accountability Committee,Rules Committee,308
Education and the Workforce Committee,Financial Services Committee,474
Education and the Workforce Committee,Homeland Security and Governmental Affairs Committee,8
Education and the Workforce Committee,Oversight and Accountability Committee,589
Financial Services Committee,Homeland Security and Governmental Affairs Committee,9
Financial Services Committee,Oversight and Accountability Committee,460
Energy and Commerce Committee,Rules Committee,237
