source,target,weight
Foreign Affairs Committee,Foreign Relations Committee,36
Armed Services Committee,Veterans,47
"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,13
Energy and Commerce Committee,Ways and Means Committee,413
Financial Services Committee,"Health, Education, Labor, and Pensions Committee",2
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,17
Rules and Administration Committee,Transportation and Infrastructure Committee,6
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",13
Judiciary Committee,Veterans,6
Energy and Commerce Committee,Foreign Affairs Committee,32
Armed Services Committee,Foreign Affairs Committee,39
Foreign Affairs Committee,Veterans,5
"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,6
Judiciary Committee,Oversight and Accountability Committee,75
Committee on House Administration,Transportation and Infrastructure Committee,13
Armed Services Committee,Judiciary Committee,34
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",35
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",33
Judiciary Committee,Natural Resources Committee,51
Financial Services Committee,Foreign Affairs Committee,36
Financial Services Committee,Judiciary Committee,66
Foreign Affairs Committee,Judiciary Committee,58
Education and the Workforce Committee,Judiciary Committee,109
Education and the Workforce Committee,Energy and Commerce Committee,159
Education and the Workforce Committee,Foreign Affairs Committee,12
Foreign Relations Committee,Oversight and Accountability Committee,1
Committee on House Administration,Energy and Commerce Committee,25
Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",12
Foreign Affairs Committee,Rules Committee,7
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,49
Committee on House Administration,Education and the Workforce Committee,35
Foreign Affairs Committee,"Health, Education, Labor, and Pensions Committee",2
Energy and Natural Resources Committee,Natural Resources Committee,79
Oversight and Accountability Committee,"Science, Space, and Technology Committee",14
Homeland Security Committee,Judiciary Committee,72
,Veterans,89
,Affairs Committee,42
Affairs Committee,Veterans,42
,Foreign Affairs Committee,1
Armed Services Committee,Foreign Relations Committee,1
Foreign Relations Committee,Veterans,1
Oversight and Accountability Committee,Small Business Committee,8
Education and the Workforce Committee,Rules Committee,24
Education and the Workforce Committee,Ways and Means Committee,158
Energy and Commerce Committee,Rules Committee,35
Rules Committee,Ways and Means Committee,44
Appropriations Committee,Budget Committee,16
Appropriations Committee,Ways and Means Committee,36
Budget Committee,Ways and Means Committee,40
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,118
Budget Committee,Rules Committee,55
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,5
Oversight and Accountability Committee,Transportation and Infrastructure Committee,30
Financial Services Committee,Oversight and Accountability Committee,40
Foreign Affairs Committee,Oversight and Accountability Committee,27
Transportation and Infrastructure Committee,Ways and Means Committee,56
Agriculture Committee,Financial Services Committee,27
Agriculture Committee,Foreign Affairs Committee,14
Oversight and Accountability Committee,Ways and Means Committee,83
Education and the Workforce Committee,"Science, Space, and Technology Committee",24
Committee on House Administration,Natural Resources Committee,19
Armed Services Committee,Energy and Commerce Committee,22
Energy and Commerce Committee,Veterans,11
Agriculture Committee,Natural Resources Committee,47
Finance Committee,Financial Services Committee,1
Finance Committee,Judiciary Committee,1
Finance Committee,Ways and Means Committee,16
Financial Services Committee,Ways and Means Committee,79
Judiciary Committee,Ways and Means Committee,100
Energy and Commerce Committee,Judiciary Committee,134
Judiciary Committee,Transportation and Infrastructure Committee,33
Agriculture Committee,Energy and Commerce Committee,43
Agriculture Committee,"Science, Space, and Technology Committee",8
Energy and Commerce Committee,Natural Resources Committee,62
Energy and Commerce Committee,"Science, Space, and Technology Committee",46
Natural Resources Committee,"Science, Space, and Technology Committee",35
Energy and Commerce Committee,Energy and Natural Resources Committee,5
"Science, Space, and Technology Committee",Veterans,1
Budget Committee,Ethics Committee,1
