id,committees,congress,bill_type,bill_number,bill_version,title,text_length,policy_area,legislative_subjects
118hconres23ih,"['Energy and Commerce Committee', 'Judiciary Committee']",118.0,House Concurrent Resolution,23.0,Introduced (House),"Expressing support for the recognition of March 10, 2023, as Abortion Provider Appreciation Day.",1218.0,Health,"['Abortion', 'Commemorative events and holidays', 'Health personnel']"
118hconres7rfs,"['Foreign Relations Committee', 'Foreign Affairs Committee']",118.0,House Concurrent Resolution,7.0,Referred in (Senate),Condemning the Iranian regime’s human rights abuses against the brave women and men of Iran peacefully demonstrating in more than 133 cities.,2449.0,International Affairs,"['Advanced technology and technological innovations', 'Congressional tributes', 'Diplomacy, foreign officials, Americans abroad', 'Foreign aid and international relief', 'Human rights', 'Intelligence activities, surveillance, classified information', 'International organizations and cooperation', 'Internet, web applications, social media', 'Iran', 'Middle East', 'Presidents and presidential powers, Vice Presidents', 'Protest and dissent', 'Public-private cooperation', 'Rule of law and government transparency', 'Sanctions', 'Women']"
118hconres69ih,['Natural Resources Committee'],118.0,House Concurrent Resolution,69.0,Introduced (House),Recognizing the 10th anniversary of the USA Rice-Ducks Unlimited Rice Stewardship Partnership.,234.0,Agriculture and Food,"['Birds', 'Farmland', 'Grain', 'Hunting and fishing', 'Wildlife conservation and habitat protection']"
118hconres42ih,['Energy and Commerce Committee'],118.0,House Concurrent Resolution,42.0,Introduced (House),"Honoring Mary Eliza Mahoney, America’s first professionally trained Black nurse.",915.0,Health,"['Congressional tributes', 'Nursing', 'Racial and ethnic relations', 'U.S. history']"
118hconres49ih,"['Committee on House Administration', 'Oversight and Accountability Committee']",118.0,House Concurrent Resolution,49.0,Introduced (House),"Establishing the Commission on Evidence-Based Policymaking to review, analyze, and make recommendations to Congress to promote the use of Federal data for evidence-building and evidence-based policymaking, and for other purposes.",6981.0,Congress,"['Advisory bodies', 'Legislative rules and procedure', 'Members of Congress']"
118hconres43enr,['Transportation and Infrastructure Committee'],118.0,House Concurrent Resolution,43.0,Enrolled,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby.,1734.0,Congress,"['Outdoor recreation', 'U.S. Capitol']"
118hconres40rfs,"['Judiciary Committee', 'Judiciary Committee']",118.0,House Concurrent Resolution,40.0,Referred in (Senate),Expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.,240.0,Crime and Law Enforcement,"['Law enforcement administration and funding', 'Law enforcement officers']"
118hconres44ih,['Judiciary Committee'],118.0,House Concurrent Resolution,44.0,Introduced (House),"Urging the establishment of a United States Commission on Truth, Racial Healing, and Transformation.",629.0,"Civil Rights and Liberties, Minority Issues","['Advisory bodies', 'Commemorative events and holidays', 'Executive agency funding and structure', 'Monuments and memorials', 'Racial and ethnic relations', 'U.S. history']"
118hconres14ih,"['Energy and Commerce Committee', 'Natural Resources Committee', 'Transportation and Infrastructure Committee']",118.0,House Concurrent Resolution,14.0,Introduced (House),Expressing disapproval of the revocation by President Biden of the Presidential permit for the Keystone XL pipeline.,119.0,Energy,"['Congressional-executive branch relations', 'Licensing and registrations', 'Oil and gas', 'Pipelines', 'Presidents and presidential powers, Vice Presidents']"
118hconres57enr,"['Foreign Relations Committee', 'Judiciary Committee', 'Foreign Affairs Committee']",118.0,House Concurrent Resolution,57.0,Enrolled,Expressing the sense of Congress supporting the State of Israel.,245.0,International Affairs,"['Israel', 'Middle East']"
118hconres86rfs,"['Finance Committee', 'Ways and Means Committee']",118.0,House Concurrent Resolution,86.0,Referred in (Senate),Expressing the sense of Congress that a carbon tax would be detrimental to the United States economy.,162.0,Taxation,"['Air quality', 'Climate change and greenhouse gases', 'Energy prices', 'Oil and gas', 'Sales and excise taxes', 'User charges and fees']"
118hconres16ih,['Armed Services Committee'],118.0,House Concurrent Resolution,16.0,Introduced (House),"Recognizing the victims of the Port Chicago explosion of July 17, 1944, the 79th anniversary of the greatest homeland loss of life of World War II, and exonerating the 50 African-American sailors unjustly court-martialed by the Navy.",647.0,Armed Forces and National Security,"['California', 'Congressional tributes', 'Criminal procedure and sentencing', 'Fires', 'Military facilities and property', 'Military history', 'Military law', 'Military personnel and dependents', 'Racial and ethnic relations']"
118hconres5ih,['Judiciary Committee'],118.0,House Concurrent Resolution,5.0,Introduced (House),Expressing support for the Nation’s law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,369.0,Crime and Law Enforcement,"['Congressional tributes', 'Law enforcement administration and funding', 'Law enforcement officers']"
118hconres9rfs,"['Judiciary Committee', 'Financial Services Committee']",118.0,House Concurrent Resolution,9.0,Referred in (Senate),Denouncing the horrors of socialism.,137.0,Government Operations and Politics,"['Economic theory', 'Political movements and philosophies']"
118hconres8ih,['Rules Committee'],118.0,House Concurrent Resolution,8.0,Introduced (House),Establishing the Task Force on the Legislative Process.,4273.0,Congress,"['Congressional operations and organization', 'Congressional oversight', 'Government information and archives', 'Legislative rules and procedure']"
118hconres27ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,27.0,Introduced (House),"Condemning Russia’s unjust and arbitrary detention of Russian opposition leader Vladimir Kara-Murza who has stood up in defense of democracy, the rule of law, and free and fair elections in Russia.",1150.0,International Affairs,"['Conflicts and wars', 'Detention of persons', 'Europe', 'Human rights', 'Protest and dissent', 'Rule of law and government transparency', 'Russia', 'Sovereignty, recognition, national governance and status', 'Ukraine']"
118hconres35enr,['Committee on House Administration'],118.0,House Concurrent Resolution,35.0,Enrolled,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate a King Kamehameha Day Lei Draping Ceremony.,481.0,Congress,"['Commemorative events and holidays', 'Congressional tributes', 'Hawaii', 'U.S. Capitol']"
118hconres15enr,['Transportation and Infrastructure Committee'],118.0,House Concurrent Resolution,15.0,Enrolled,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,2604.0,Congress,"['Commemorative events and holidays', 'Government buildings, facilities, and property', 'Law enforcement officers', 'Monuments and memorials', 'Museums, exhibitions, cultural centers', 'Music', 'U.S. Capitol']"
118hconres56ih,['Energy and Commerce Committee'],118.0,House Concurrent Resolution,56.0,Introduced (House),"Recognizing that the climate crisis disproportionately affects the health, economic opportunity, and fundamental rights of children, expressing the sense of Congress that leadership by the United States is still urgently needed to address the climate crisis, and acknowledging the need of the United States to develop a national, comprehensive, science-based, and just climate recovery plan to phase out fossil fuel emissions, protect and enhance natural carbon sequestration, and put the United States on a path toward stabilizing the climate system.",884.0,Environmental Protection,"['Air quality', 'Child health', 'Child safety and welfare', 'Climate change and greenhouse gases', 'Economic performance and conditions', 'Environmental health', 'Protest and dissent']"
118hconres28ih,['Ways and Means Committee'],118.0,House Concurrent Resolution,28.0,Introduced (House),Expressing the sense of Congress that tax-exempt fraternal benefit societies have historically provided and continue to provide critical benefits to the people and communities of the United States.,907.0,Taxation,"['Life, casualty, property insurance', 'Social work, volunteer service, charitable organizations', 'Tax-exempt organizations']"
118hconres67ih,['Energy and Commerce Committee'],118.0,House Concurrent Resolution,67.0,Introduced (House),"Supporting the designation of the week of September 17 through September 23, 2023, as National Fall Prevention Awareness Week to raise awareness about, and encourage the prevention of, falls among older adults.",765.0,Health,"['Aging', 'Commemorative events and holidays', 'Health promotion and preventive care']"
118hconres18ih,['Committee on House Administration'],118.0,House Concurrent Resolution,18.0,Introduced (House),"Establishing deadlines for the Joint Committee of Congress on the Library to approve or deny the statue of the Reverend William Franklin Billy Graham, Jr., for placement in the National Statuary Hall.",1284.0,Congress,"['Architect of the Capitol', 'Religion', 'U.S. Capitol']"
118hconres68ih,"['Energy and Commerce Committee', 'Foreign Affairs Committee']",118.0,House Concurrent Resolution,68.0,Introduced (House),"Expressing support for the recognition of September 26, 2023, as World Contraception Day and expressing the sense of the House of Representatives regarding global and domestic access to contraception.",3513.0,Health,"['Domestic violence and child abuse', 'Family planning and birth control', 'Foreign aid and international relief', 'Health care coverage and access', 'Sex and reproductive health', 'Sex, gender, sexual orientation discrimination']"
118hconres83eh,['Transportation and Infrastructure Committee'],118.0,House Concurrent Resolution,83.0,Engrossed (House),Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,2609.0,Congress,"['Commemorative events and holidays', 'Government buildings, facilities, and property', 'Law enforcement officers', 'Monuments and memorials', 'Museums, exhibitions, cultural centers', 'Music', 'U.S. Capitol']"
