bill_id,committee
118hconres23ih,Energy and Commerce Committee
118hconres23ih,Judiciary Committee
118hconres7rfs,Foreign Relations Committee
118hconres7rfs,Foreign Affairs Committee
118hconres69ih,Natural Resources Committee
118hconres42ih,Energy and Commerce Committee
118hconres49ih,Committee on House Administration
118hconres49ih,Oversight and Accountability Committee
118hconres43enr,Transportation and Infrastructure Committee
118hconres40rfs,Judiciary Committee
118hconres40rfs,Judiciary Committee
118hconres44ih,Judiciary Committee
118hconres14ih,Energy and Commerce Committee
118hconres14ih,Natural Resources Committee
118hconres14ih,Transportation and Infrastructure Committee
118hconres57enr,Foreign Relations Committee
118hconres57enr,Judiciary Committee
118hconres57enr,Foreign Affairs Committee
118hconres86rfs,Finance Committee
118hconres86rfs,Ways and Means Committee
118hconres16ih,Armed Services Committee
118hconres5ih,Judiciary Committee
118hconres9rfs,Judiciary Committee
118hconres9rfs,Financial Services Committee
118hconres8ih,Rules Committee
118hconres27ih,Foreign Affairs Committee
118hconres35enr,Committee on House Administration
118hconres15enr,Transportation and Infrastructure Committee
118hconres56ih,Energy and Commerce Committee
118hconres28ih,Ways and Means Committee
118hconres67ih,Energy and Commerce Committee
118hconres18ih,Committee on House Administration
118hconres68ih,Energy and Commerce Committee
118hconres68ih,Foreign Affairs Committee
118hconres83eh,Transportation and Infrastructure Committee
118hconres12ih,Agriculture Committee
118hconres12ih,Ways and Means Committee
118hconres103ih,Committee on House Administration
118hconres6ih,Ways and Means Committee
118hconres6ih,Rules Committee
118hconres30ih,Foreign Affairs Committee
118hconres34ih,Natural Resources Committee
118hconres32ih,Judiciary Committee
118hconres4ih,Judiciary Committee
118hconres41ih,Transportation and Infrastructure Committee
118hconres25enr,Committee on House Administration
118hconres84enr,Committee on House Administration
118hconres3rfs,Judiciary Committee
118hconres3rfs,Judiciary Committee
118hconres39ih,Energy and Commerce Committee
118hconres39ih,Foreign Affairs Committee
118hconres82ih,Foreign Affairs Committee
118hconres22ih,Education and the Workforce Committee
118hconres2ih,Judiciary Committee
118hconres77ih,Education and the Workforce Committee
118hconres24ih,Judiciary Committee
118hconres85enr,Committee on House Administration
118hconres89eh,Committee on House Administration
118hconres37ih,Energy and Commerce Committee
118hconres17rh,Energy and Commerce Committee
118hjres49rh,Natural Resources Committee
118hjres35ih,Judiciary Committee
118hjres55ih,Judiciary Committee
118hjres85ih,Financial Services Committee
118hjres1ih,Judiciary Committee
118hjres92ih,Agriculture Committee
118hjres31ih,Veterans
118hjres11ih,Judiciary Committee
118hjres38ih,Judiciary Committee
118hjres10ih,Judiciary Committee
118hjres97ih,Judiciary Committee
118hjres34ih,Judiciary Committee
118hjres98enr,Education and the Workforce Committee
118hjres66rh,Financial Services Committee
118hjres41ih,Judiciary Committee
118hjres6ih,Judiciary Committee
118hjres19ih,Judiciary Committee
118hjres71ih,Foreign Affairs Committee
118hjres27enr,Transportation and Infrastructure Committee
118hjres23ih,Judiciary Committee
118hjres115ih,Agriculture Committee
118hjres40ih,Judiciary Committee
118hjres68ih,Foreign Affairs Committee
118hjres42enr,Oversight and Accountability Committee
118hjres42enr,Homeland Security and Governmental Affairs Committee
118hjres16ih,Judiciary Committee
118hjres5ih,Judiciary Committee
118hjres39enr,Ways and Means Committee
118hjres74ih,Foreign Affairs Committee
118hjres20ih,Judiciary Committee
118hjres67ih,Judiciary Committee
118hjres17ih,Oversight and Accountability Committee
118hjres62enr,Rules and Administration Committee
118hjres62enr,Committee on House Administration
118hjres7enr,Finance Committee
118hjres7enr,Transportation and Infrastructure Committee
118hjres47ih,Judiciary Committee
118hjres4ih,Judiciary Committee
118hjres3ih,Judiciary Committee
118hjres21ih,Judiciary Committee
118hjres9ih,Judiciary Committee
118hjres44eh,Judiciary Committee
118hjres26enr,Homeland Security and Governmental Affairs Committee
118hjres26enr,Oversight and Accountability Committee
118hjres70ih,Foreign Affairs Committee
118hjres30enr,Education and the Workforce Committee
118hjres64enr,Rules and Administration Committee
118hjres64enr,Committee on House Administration
118hjres79ih,Foreign Affairs Committee
118hjres14ih,Oversight and Accountability Committee
118hjres12ih,Judiciary Committee
118hjres69ih,Energy and Commerce Committee
118hjres50ih,Financial Services Committee
118hjres46rh,Natural Resources Committee
118hjres28ih,Education and the Workforce Committee
118hjres24rfs,Homeland Security and Governmental Affairs Committee
118hjres24rfs,Oversight and Accountability Committee
118hjres18ih,Foreign Affairs Committee
118hjres63enr,Rules and Administration Committee
118hjres63enr,Committee on House Administration
118hjres33ih,Education and the Workforce Committee
118hjres33ih,Veterans
118hjres88pcs,Education and the Workforce Committee
118hjres22ih,Ways and Means Committee
118hjres15ih,Judiciary Committee
118hjres29rh,Natural Resources Committee
118hjres8ih,Judiciary Committee
118hjres2ih,Judiciary Committee
118hjres13ih,Judiciary Committee
118hjres56ih,Judiciary Committee
118hjres25ih,Judiciary Committee
118hjres45enr,Education and the Workforce Committee
118hjres43ih,Natural Resources Committee
118hr1434ih,Armed Services Committee
118hr298rfs,"Banking, Housing, and Urban Affairs Committee"
118hr298rfs,Financial Services Committee
118hr6811ih,Agriculture Committee
118hr4149ih,Agriculture Committee
118hr1734enr,"Science, Space, and Technology Committee"
118hr5028ih,Education and the Workforce Committee
118hr593rfs,Veterans
118hr593rfs,Affairs Committee
118hr294ih,Foreign Affairs Committee
118hr3848rfs,Veterans
118hr3848rfs,Affairs Committee
118hr1595ih,Judiciary Committee
118hr3633ih,Energy and Commerce Committee
118hr2683ih,Veterans
118hr5663ih,Energy and Commerce Committee
118hr5663ih,Ways and Means Committee
118hr5384ih,Energy and Commerce Committee
118hr5384ih,Ways and Means Committee
118hr5650ih,Agriculture Committee
118hr7423ih,Oversight and Accountability Committee
118hr866ih,Oversight and Accountability Committee
118hr1233ih,Transportation and Infrastructure Committee
118hr1233ih,Financial Services Committee
118hr4776ih,Homeland Security Committee
118hr540rfs,Foreign Relations Committee
118hr540rfs,Financial Services Committee
118hr3847ih,Agriculture Committee
118hr126ih,Committee on House Administration
118hr5443ih,Natural Resources Committee
118hr202ih,Education and the Workforce Committee
118hr1557ih,Energy and Commerce Committee
118hr337ih,Energy and Commerce Committee
118hr3903ih,Agriculture Committee
118hr2973ih,Foreign Affairs Committee
118hr2973ih,Armed Services Committee
118hr325ih,Natural Resources Committee
118hr325ih,"Science, Space, and Technology Committee"
118hr572ih,Education and the Workforce Committee
118hr4419ih,Energy and Commerce Committee
118hr3440ih,Energy and Commerce Committee
118hr3440ih,Ways and Means Committee
118hr3794ih,Energy and Commerce Committee
118hr3281ih,Energy and Commerce Committee
118hr574ih,Energy and Commerce Committee
118hr5427rfs,Small Business and Entrepreneurship Committee
118hr5427rfs,Small Business Committee
