committee,count
Energy and Commerce Committee,1030
Judiciary Committee,691
Ways and Means Committee,430
Oversight and Accountability Committee,293
Natural Resources Committee,289
Transportation and Infrastructure Committee,263
Education and the Workforce Committee,257
"Health, Education, Labor, and Pensions Committee",241
Veterans,239
Agriculture Committee,237
Foreign Affairs Committee,208
Financial Services Committee,204
Finance Committee,178
Homeland Security and Governmental Affairs Committee,176
Energy and Natural Resources Committee,147
"Banking, Housing, and Urban Affairs Committee",116
Rules Committee,109
Committee on House Administration,103
Foreign Relations Committee,102
Homeland Security Committee,101
"Commerce, Science, and Transportation Committee",98
Armed Services Committee,90
Environment and Public Works Committee,79
"Science, Space, and Technology Committee",68
"Agriculture, Nutrition, and Forestry Committee",68
Budget Committee,64
Appropriations Committee,48
Small Business Committee,37
Small Business and Entrepreneurship Committee,34
Rules and Administration Committee,32
Indian Affairs Committee,31
Intelligence (Permanent Select) Committee,21
Affairs Committee,13
Ethics Committee,10
Intelligence (Select) Committee,2
Aging (Special) Committee,1
